Date,GrandPrix,Position,Driver,FullName,BestLapTime,Tyre
2025-04-06,Japanese Grand Prix,18,STR,Lance Stroll,0 days 00:01:32.052000,MEDIUM
2025-04-06,Japanese Grand Prix,19,HUL,Nico Hulkenberg,0 days 00:01:32.572000,HARD
2025-04-06,Japanese Grand Prix,20,DOO,Jack Doohan,0 days 00:01:32.685000,HARD
2025-04-13,Bahrain Grand Prix,1,PIA,Oscar Piastri,0 days 00:01:35.140000,MEDIUM
2025-04-13,Bahrain Grand Prix,2,RUS,George Russell,0 days 00:01:35.518000,SOFT
2025-04-13,Bahrain Grand Prix,3,NOR,Lando Norris,0 days 00:01:35.728000,MEDIUM
2025-04-13,Bahrain Grand Prix,4,LEC,Charles Leclerc,0 days 00:01:36.132000,HARD
2025-04-13,Bahrain Grand Prix,5,VER,Max Verstappen,0 days 00:01:36.167000,MEDIUM
2025-04-13,Bahrain Grand Prix,6,HAM,Lewis Hamilton,0 days 00:01:36.235000,HARD
2025-04-13,Bahrain Grand Prix,7,GAS,Pierre Gasly,0 days 00:01:36.531000,HARD
2025-04-13,Bahrain Grand Prix,8,DOO,Jack Doohan,0 days 00:01:36.682000,HARD
2025-04-13,Bahrain Grand Prix,9,ANT,Kimi Antonelli,0 days 00:01:36.690000,SOFT
2025-04-13,Bahrain Grand Prix,10,HAD,Isack Hadjar,0 days 00:01:36.952000,HARD
2025-04-13,Bahrain Grand Prix,11,SAI,Carlos Sainz,0 days 00:01:36.954000,MEDIUM
2025-04-13,Bahrain Grand Prix,12,OCO,Esteban Ocon,0 days 00:01:37.098000,HARD
2025-04-13,Bahrain Grand Prix,13,ALB,Alexander Albon,0 days 00:01:37.141000,MEDIUM
2025-04-13,Bahrain Grand Prix,14,TSU,Yuki Tsunoda,0 days 00:01:37.225000,SOFT
2025-04-13,Bahrain Grand Prix,15,BEA,Oliver Bearman,0 days 00:01:37.303000,SOFT
2025-04-13,Bahrain Grand Prix,16,HUL,Nico Hulkenberg,0 days 00:01:37.338000,MEDIUM
2025-04-13,Bahrain Grand Prix,17,LAW,Liam Lawson,0 days 00:01:37.380000,SOFT
2025-04-13,Bahrain Grand Prix,18,ALO,Fernando Alonso,0 days 00:01:37.906000,HARD
2025-04-13,Bahrain Grand Prix,19,BOR,Gabriel Bortoleto,0 days 00:01:38.006000,MEDIUM
2025-04-13,Bahrain Grand Prix,20,STR,Lance Stroll,0 days 00:01:38.064000,HARD
2025-04-20,Saudi Arabian Grand Prix,1,NOR,Lando Norris,0 days 00:01:31.778000,MEDIUM
2025-04-20,Saudi Arabian Grand Prix,2,LEC,Charles Leclerc,0 days 00:01:32.192000,HARD
2025-04-20,Saudi Arabian Grand Prix,3,PIA,Oscar Piastri,0 days 00:01:32.228000,HARD
2025-04-20,Saudi Arabian Grand Prix,4,VER,Max Verstappen,0 days 00:01:32.280000,HARD
2025-04-20,Saudi Arabian Grand Prix,5,ANT,Kimi Antonelli,0 days 00:01:32.396000,HARD
