Date,GrandPrix,Position,Driver,FullName,BestLapTime,Tyre
2025-08-31,Dutch Grand Prix,2,NOR,Lando Norris,0 days 00:01:12.379000,HARD
2025-08-31,Dutch Grand Prix,3,VER,Max Verstappen,0 days 00:01:12.921000,SOFT
2025-08-31,Dutch Grand Prix,4,COL,Franco Colapinto,0 days 00:01:13.049000,SOFT
2025-08-31,Dutch Grand Prix,5,HAD,Isack Hadjar,0 days 00:01:13.327000,SOFT
2025-08-31,Dutch Grand Prix,6,ANT,Kimi Antonelli,0 days 00:01:13.480000,SOFT
2025-08-31,Dutch Grand Prix,7,ALB,Alexander Albon,0 days 00:01:13.687000,SOFT
2025-08-31,Dutch Grand Prix,8,ALO,Fernando Alonso,0 days 00:01:13.719000,HARD
2025-08-31,Dutch Grand Prix,9,RUS,George Russell,0 days 00:01:13.728000,SOFT
2025-08-31,Dutch Grand Prix,10,SAI,Carlos Sainz,0 days 00:01:13.808000,SOFT
2025-08-31,Dutch Grand Prix,11,STR,Lance Stroll,0 days 00:01:13.822000,HARD
2025-08-31,Dutch Grand Prix,12,LAW,Liam Lawson,0 days 00:01:13.879000,SOFT
2025-08-31,Dutch Grand Prix,13,BEA,Oliver Bearman,0 days 00:01:13.950000,MEDIUM
2025-08-31,Dutch Grand Prix,14,OCO,Esteban Ocon,0 days 00:01:13.986000,MEDIUM
2025-08-31,Dutch Grand Prix,15,BOR,Gabriel Bortoleto,0 days 00:01:14.307000,SOFT
2025-08-31,Dutch Grand Prix,16,TSU,Yuki Tsunoda,0 days 00:01:14.354000,SOFT
2025-08-31,Dutch Grand Prix,17,LEC,Charles Leclerc,0 days 00:01:14.557000,HARD
2025-08-31,Dutch Grand Prix,18,HUL,Nico Hulkenberg,0 days 00:01:14.912000,MEDIUM
2025-08-31,Dutch Grand Prix,19,GAS,Pierre Gasly,0 days 00:01:15.248000,HARD
2025-08-31,Dutch Grand Prix,20,HAM,Lewis Hamilton,0 days 00:01:15.684000,MEDIUM
2025-09-07,Italian Grand Prix,1,NOR,Lando Norris,0 days 00:01:20.901000,SOFT
2025-09-07,Italian Grand Prix,2,VER,Max Verstappen,0 days 00:01:21.003000,HARD
2025-09-07,Italian Grand Prix,3,PIA,Oscar Piastri,0 days 00:01:21.245000,SOFT
2025-09-07,Italian Grand Prix,4,LEC,Charles Leclerc,0 days 00:01:21.294000,HARD
2025-09-07,Italian Grand Prix,5,ALB,Alexander Albon,0 days 00:01:21.368000,MEDIUM
2025-09-07,Italian Grand Prix,6,HAM,Lewis Hamilton,0 days 00:01:21.546000,HARD
2025-09-07,Italian Grand Prix,7,SAI,Carlos Sainz,0 days 00:01:21.740000,HARD
2025-09-07,Italian Grand Prix,8,RUS,George Russell,0 days 00:01:21.800000,HARD
2025-09-07,Italian Grand Prix,9,BEA,Oliver Bearman,0 days 00:01:21.820000,HARD
2025-09-07,Italian Grand Prix,10,ANT,Kimi Antonelli,0 days 00:01:21.968000,HARD
2025-09-07,Italian Grand Prix,11,HAD,Isack Hadjar,0 days 00:01:22.133000,MEDIUM
2025-09-07,Italian Grand Prix,12,BOR,Gabriel Bortoleto,0 days 00:01:22.139000,HARD
2025-09-07,Italian Grand Prix,13,STR,Lance Stroll,0 days 00:01:22.164000,SOFT
2025-09-07,Italian Grand Prix,14,GAS,Pierre Gasly,0 days 00:01:22.185000,SOFT
2025-09-07,Italian Grand Prix,15,COL,Franco Colapinto,0 days 00:01:22.239000,HARD
2025-09-07,Italian Grand Prix,16,TSU,Yuki Tsunoda,0 days 00:01:22.712000,HARD
2025-09-07,Italian Grand Prix,17,LAW,Liam Lawson,0 days 00:01:22.777000,HARD
2025-09-07,Italian Grand Prix,18,OCO,Esteban Ocon,0 days 00:01:22.892000,HARD
2025-09-07,Italian Grand Prix,19,ALO,Fernando Alonso,0 days 00:01:23.757000,HARD
2025-09-21,Azerbaijan Grand Prix,1,VER,Max Verstappen,0 days 00:01:43.388000,MEDIUM
2025-09-21,Azerbaijan Grand Prix,2,RUS,George Russell,0 days 00:01:43.754000,MEDIUM
2025-09-21,Azerbaijan Grand Prix,3,HAD,Isack Hadjar,0 days 00:01:43.884000,HARD
2025-09-21,Azerbaijan Grand Prix,4,SAI,Carlos Sainz,0 days 00:01:43.972000,HARD
2025-09-21,Azerbaijan Grand Prix,5,HAM,Lewis Hamilton,0 days 00:01:43.977000,MEDIUM
2025-09-21,Azerbaijan Grand Prix,6,ANT,Kimi Antonelli,0 days 00:01:44.091000,HARD
2025-09-21,Azerbaijan Grand Prix,7,ALB,Alexander Albon,0 days 00:01:44.152000,HARD
2025-09-21,Azerbaijan Grand Prix,8,NOR,Lando Norris,0 days 00:01:44.155000,HARD
2025-09-21,Azerbaijan Grand Prix,9,LEC,Charles Leclerc,0 days 00:01:44.274000,HARD
2025-09-21,Azerbaijan Grand Prix,10,BEA,Oliver Bearman,0 days 00:01:44.288000,MEDIUM
2025-09-21,Azerbaijan Grand Prix,11,HUL,Nico Hulkenberg,0 days 00:01:44.370000,MEDIUM
2025-09-21,Azerbaijan Grand Prix,12,TSU,Yuki Tsunoda,0 days 00:01:44.434000,MEDIUM
2025-09-21,Azerbaijan Grand Prix,13,LAW,Liam Lawson,0 days 00:01:44.531000,HARD
2025-09-21,Azerbaijan Grand Prix,14,BOR,Gabriel Bortoleto,0 days 00:01:44.930000,MEDIUM
2025-09-21,Azerbaijan Grand Prix,15,ALO,Fernando Alonso,0 days 00:01:45.002000,HARD
2025-09-21,Azerbaijan Grand Prix,16,STR,Lance Stroll,0 days 00:01:45.083000,HARD
2025-09-21,Azerbaijan Grand Prix,17,OCO,Esteban Ocon,0 days 00:01:45.388000,HARD
2025-09-21,Azerbaijan Grand Prix,18,GAS,Pierre Gasly,0 days 00:01:45.492000,MEDIUM
2025-09-21,Azerbaijan Grand Prix,19,COL,Franco Colapinto,0 days 00:01:46.055000,HARD
2025-10-05,Singapore Grand Prix,1,HAM,Lewis Hamilton,0 days 00:01:33.808000,SOFT
2025-10-05,Singapore Grand Prix,2,GAS,Pierre Gasly,0 days 00:01:34.573000,SOFT
2025-10-05,Singapore Grand Prix,3,SAI,Carlos Sainz,0 days 00:01:34.963000,SOFT
2025-10-05,Singapore Grand Prix,4,ANT,Kimi Antonelli,0 days 00:01:35.303000,HARD
2025-10-05,Singapore Grand Prix,5,HUL,Nico Hulkenberg,0 days 00:01:35.404000,SOFT
2025-10-05,Singapore Grand Prix,6,PIA,Oscar Piastri,0 days 00:01:35.408000,HARD
2025-10-05,Singapore Grand Prix,7,NOR,Lando Norris,0 days 00:01:35.555000,HARD
2025-10-05,Singapore Grand Prix,8,LAW,Liam Lawson,0 days 00:01:35.641000,SOFT
2025-10-05,Singapore Grand Prix,9,ALB,Alexander Albon,0 days 00:01:35.648000,SOFT
2025-10-05,Singapore Grand Prix,10,VER,Max Verstappen,0 days 00:01:35.649000,HARD
2025-10-05,Singapore Grand Prix,11,RUS,George Russell,0 days 00:01:35.676000,HARD
2025-10-05,Singapore Grand Prix,12,STR,Lance Stroll,0 days 00:01:35.851000,MEDIUM
2025-10-05,Singapore Grand Prix,13,ALO,Fernando Alonso,0 days 00:01:35.862000,MEDIUM
2025-10-05,Singapore Grand Prix,14,LEC,Charles Leclerc,0 days 00:01:35.983000,HARD
2025-10-05,Singapore Grand Prix,15,BEA,Oliver Bearman,0 days 00:01:36.201000,HARD
2025-10-05,Singapore Grand Prix,16,OCO,Esteban Ocon,0 days 00:01:36.646000,HARD
2025-10-05,Singapore Grand Prix,17,TSU,Yuki Tsunoda,0 days 00:01:36.831000,HARD
2025-10-05,Singapore Grand Prix,18,HAD,Isack Hadjar,0 days 00:01:36.938000,HARD
2025-10-05,Singapore Grand Prix,19,BOR,Gabriel Bortoleto,0 days 00:01:37.126000,HARD
2025-10-05,Singapore Grand Prix,20,COL,Franco Colapinto,0 days 00:01:37.182000,MEDIUM
2025-10-19,United States Grand Prix,1,ANT,Kimi Antonelli,0 days 00:01:37.577000,SOFT
2025-10-19,United States Grand Prix,2,NOR,Lando Norris,0 days 00:01:37.620000,SOFT
2025-10-19,United States Grand Prix,3,VER,Max Verstappen,0 days 00:01:37.991000,SOFT
2025-10-19,United States Grand Prix,4,RUS,George Russell,0 days 00:01:38.224000,SOFT
2025-10-19,United States Grand Prix,5,LEC,Charles Leclerc,0 days 00:01:38.231000,MEDIUM
2025-10-19,United States Grand Prix,6,BOR,Gabriel Bortoleto,0 days 00:01:38.275000,SOFT
2025-10-19,United States Grand Prix,7,ALB,Alexander Albon,0 days 00:01:38.328000,SOFT
2025-10-19,United States Grand Prix,8,HAM,Lewis Hamilton,0 days 00:01:38.361000,SOFT
2025-10-19,United States Grand Prix,9,HUL,Nico Hulkenberg,0 days 00:01:38.372000,SOFT
2025-10-19,United States Grand Prix,10,PIA,Oscar Piastri,0 days 00:01:38.564000,SOFT
2025-10-19,United States Grand Prix,11,HAD,Isack Hadjar,0 days 00:01:38.724000,SOFT
2025-10-19,United States Grand Prix,12,ALO,Fernando Alonso,0 days 00:01:38.789000,SOFT
2025-10-19,United States Grand Prix,13,TSU,Yuki Tsunoda,0 days 00:01:38.803000,SOFT
2025-10-19,United States Grand Prix,14,LAW,Liam Lawson,0 days 00:01:38.983000,SOFT
2025-10-19,United States Grand Prix,15,STR,Lance Stroll,0 days 00:01:39.071000,MEDIUM
2025-10-19,United States Grand Prix,16,BEA,Oliver Bearman,0 days 00:01:39.119000,SOFT
2025-10-19,United States Grand Prix,17,COL,Franco Colapinto,0 days 00:01:39.173000,SOFT
2025-10-19,United States Grand Prix,18,OCO,Esteban Ocon,0 days 00:01:39.263000,MEDIUM
2025-10-19,United States Grand Prix,19,GAS,Pierre Gasly,0 days 00:01:39.270000,SOFT
2025-10-19,United States Grand Prix,20,SAI,Carlos Sainz,0 days 00:01:40.327000,MEDIUM
2025-10-26,Mexico City Grand Prix,1,RUS,George Russell,0 days 00:01:20.052000,SOFT
2025-10-26,Mexico City Grand Prix,2,SAI,Carlos Sainz,0 days 00:01:20.098000,SOFT
2025-10-26,Mexico City Grand Prix,3,PIA,Oscar Piastri,0 days 00:01:20.422000,SOFT
2025-10-26,Mexico City Grand Prix,4,ALB,Alexander Albon,0 days 00:01:20.480000,SOFT
2025-10-26,Mexico City Grand Prix,5,STR,Lance Stroll,0 days 00:01:20.593000,SOFT
2025-10-26,Mexico City Grand Prix,6,HAM,Lewis Hamilton,0 days 00:01:20.601000,SOFT
2025-10-26,Mexico City Grand Prix,7,BEA,Oliver Bearman,0 days 00:01:20.705000,SOFT
2025-10-26,Mexico City Grand Prix,8,NOR,Lando Norris,0 days 00:01:20.764000,MEDIUM
2025-10-26,Mexico City Grand Prix,9,ANT,Kimi Antonelli,0 days 00:01:20.826000,SOFT
2025-10-26,Mexico City Grand Prix,10,VER,Max Verstappen,0 days 00:01:21.108000,SOFT
2025-10-26,Mexico City Grand Prix,11,BOR,Gabriel Bortoleto,0 days 00:01:21.121000,SOFT
2025-10-26,Mexico City Grand Prix,12,COL,Franco Colapinto,0 days 00:01:21.342000,SOFT
2025-10-26,Mexico City Grand Prix,13,TSU,Yuki Tsunoda,0 days 00:01:21.486000,SOFT
2025-10-26,Mexico City Grand Prix,14,LEC,Charles Leclerc,0 days 00:01:21.588000,MEDIUM
2025-10-26,Mexico City Grand Prix,15,ALO,Fernando Alonso,0 days 00:01:21.708000,MEDIUM
2025-10-26,Mexico City Grand Prix,16,HAD,Isack Hadjar,0 days 00:01:21.714000,SOFT
2025-10-26,Mexico City Grand Prix,17,OCO,Esteban Ocon,0 days 00:01:21.869000,MEDIUM
2025-10-26,Mexico City Grand Prix,18,GAS,Pierre Gasly,0 days 00:01:22.271000,SOFT
2025-10-26,Mexico City Grand Prix,19,HUL,Nico Hulkenberg,0 days 00:01:23.091000,SOFT
2025-10-26,Mexico City Grand Prix,20,LAW,Liam Lawson,0 days 00:01:25.124000,HARD
2025-11-09,São Paulo Grand Prix,1,ALB,Alexander Albon,0 days 00:01:12.400000,MEDIUM
2025-11-09,São Paulo Grand Prix,2,VER,Max Verstappen,0 days 00:01:12.447000,SOFT
2025-11-09,São Paulo Grand Prix,3,PIA,Oscar Piastri,0 days 00:01:12.742000,MEDIUM
2025-11-09,São Paulo Grand Prix,4,TSU,Yuki Tsunoda,0 days 00:01:12.774000,MEDIUM
2025-11-09,São Paulo Grand Prix,5,COL,Franco Colapinto,0 days 00:01:12.816000,MEDIUM
2025-11-09,São Paulo Grand Prix,6,NOR,Lando Norris,0 days 00:01:13.040000,MEDIUM
2025-11-09,São Paulo Grand Prix,7,STR,Lance Stroll,0 days 00:01:13.094000,MEDIUM
2025-11-09,São Paulo Grand Prix,8,RUS,George Russell,0 days 00:01:13.097000,MEDIUM
2025-11-09,São Paulo Grand Prix,9,ANT,Kimi Antonelli,0 days 00:01:13.123000,MEDIUM
2025-11-09,São Paulo Grand Prix,10,ALO,Fernando Alonso,0 days 00:01:13.312000,MEDIUM
2025-11-09,São Paulo Grand Prix,11,HUL,Nico Hulkenberg,0 days 00:01:13.474000,SOFT
2025-11-09,São Paulo Grand Prix,12,OCO,Esteban Ocon,0 days 00:01:13.481000,MEDIUM
2025-11-09,São Paulo Grand Prix,13,BEA,Oliver Bearman,0 days 00:01:13.483000,MEDIUM
2025-11-09,São Paulo Grand Prix,14,SAI,Carlos Sainz,0 days 00:01:13.683000,MEDIUM
2025-11-09,São Paulo Grand Prix,15,HAD,Isack Hadjar,0 days 00:01:13.694000,MEDIUM
2025-11-09,São Paulo Grand Prix,16,GAS,Pierre Gasly,0 days 00:01:13.736000,MEDIUM
2025-11-09,São Paulo Grand Prix,17,HAM,Lewis Hamilton,0 days 00:01:13.844000,MEDIUM
2025-11-09,São Paulo Grand Prix,18,LAW,Liam Lawson,0 days 00:01:14.029000,MEDIUM
2025-11-09,São Paulo Grand Prix,19,LEC,Charles Leclerc,0 days 00:01:43.560000,MEDIUM
2025-11-22,Las Vegas Grand Prix,1,VER,Max Verstappen,0 days 00:01:33.365000,HARD
2025-11-22,Las Vegas Grand Prix,2,NOR,Lando Norris,0 days 00:01:33.965000,HARD
2025-11-22,Las Vegas Grand Prix,3,ANT,Kimi Antonelli,0 days 00:01:33.998000,HARD
2025-11-22,Las Vegas Grand Prix,4,PIA,Oscar Piastri,0 days 00:01:34.086000,HARD
2025-11-22,Las Vegas Grand Prix,5,LEC,Charles Leclerc,0 days 00:01:34.304000,HARD
2025-11-22,Las Vegas Grand Prix,6,SAI,Carlos Sainz,0 days 00:01:34.496000,HARD
2025-11-22,Las Vegas Grand Prix,7,BEA,Oliver Bearman,0 days 00:01:34.519000,HARD
2025-11-22,Las Vegas Grand Prix,8,HAM,Lewis Hamilton,0 days 00:01:34.553000,MEDIUM
2025-11-22,Las Vegas Grand Prix,9,OCO,Esteban Ocon,0 days 00:01:34.557000,HARD
2025-11-22,Las Vegas Grand Prix,10,HUL,Nico Hulkenberg,0 days 00:01:34.592000,MEDIUM
2025-11-22,Las Vegas Grand Prix,11,RUS,George Russell,0 days 00:01:34.592000,HARD
2025-11-22,Las Vegas Grand Prix,12,HAD,Isack Hadjar,0 days 00:01:34.620000,HARD
2025-11-22,Las Vegas Grand Prix,13,LAW,Liam Lawson,0 days 00:01:34.837000,HARD
2025-11-22,Las Vegas Grand Prix,14,TSU,Yuki Tsunoda,0 days 00:01:34.967000,MEDIUM
2025-11-22,Las Vegas Grand Prix,15,ALB,Alexander Albon,0 days 00:01:35.184000,HARD
2025-11-22,Las Vegas Grand Prix,16,ALO,Fernando Alonso,0 days 00:01:35.629000,HARD
2025-11-22,Las Vegas Grand Prix,17,GAS,Pierre Gasly,0 days 00:01:35.674000,HARD
2025-11-22,Las Vegas Grand Prix,18,COL,Franco Colapinto,0 days 00:01:35.780000,MEDIUM
2025-11-30,Qatar Grand Prix,1,PIA,Oscar Piastri,0 days 00:01:22.996000,HARD
2025-11-30,Qatar Grand Prix,2,NOR,Lando Norris,0 days 00:01:23.197000,HARD
2025-11-30,Qatar Grand Prix,3,RUS,George Russell,0 days 00:01:23.198000,HARD
2025-11-30,Qatar Grand Prix,4,STR,Lance Stroll,0 days 00:01:23.484000,SOFT
2025-11-30,Qatar Grand Prix,5,VER,Max Verstappen,0 days 00:01:23.498000,HARD
2025-11-30,Qatar Grand Prix,6,SAI,Carlos Sainz,0 days 00:01:23.859000,HARD
2025-11-30,Qatar Grand Prix,7,ALO,Fernando Alonso,0 days 00:01:23.940000,HARD
2025-11-30,Qatar Grand Prix,8,ANT,Kimi Antonelli,0 days 00:01:23.955000,HARD
2025-11-30,Qatar Grand Prix,9,LAW,Liam Lawson,0 days 00:01:23.971000,HARD
2025-11-30,Qatar Grand Prix,10,TSU,Yuki Tsunoda,0 days 00:01:24.139000,HARD
2025-11-30,Qatar Grand Prix,11,ALB,Alexander Albon,0 days 00:01:24.261000,MEDIUM
2025-11-30,Qatar Grand Prix,12,HAD,Isack Hadjar,0 days 00:01:24.317000,HARD
2025-11-30,Qatar Grand Prix,13,LEC,Charles Leclerc,0 days 00:01:24.432000,HARD
2025-11-30,Qatar Grand Prix,14,HAM,Lewis Hamilton,0 days 00:01:24.848000,MEDIUM
2025-11-30,Qatar Grand Prix,15,BEA,Oliver Bearman,0 days 00:01:24.930000,HARD
2025-11-30,Qatar Grand Prix,16,OCO,Esteban Ocon,0 days 00:01:25.056000,HARD
2025-11-30,Qatar Grand Prix,17,BOR,Gabriel Bortoleto,0 days 00:01:25.233000,SOFT
2025-11-30,Qatar Grand Prix,18,GAS,Pierre Gasly,0 days 00:01:25.376000,MEDIUM
2025-11-30,Qatar Grand Prix,19,COL,Franco Colapinto,0 days 00:01:25.644000,MEDIUM
2025-11-30,Qatar Grand Prix,20,HUL,Nico Hulkenberg,0 days 00:01:28.139000,SOFT
2025-12-07,Abu Dhabi Grand Prix,1,LEC,Charles Leclerc,0 days 00:01:26.725000,MEDIUM
2025-12-07,Abu Dhabi Grand Prix,2,PIA,Oscar Piastri,0 days 00:01:26.765000,MEDIUM
2025-12-07,Abu Dhabi Grand Prix,3,NOR,Lando Norris,0 days 00:01:26.818000,HARD
2025-12-07,Abu Dhabi Grand Prix,4,HUL,Nico Hulkenberg,0 days 00:01:27.050000,MEDIUM
2025-12-07,Abu Dhabi Grand Prix,5,VER,Max Verstappen,0 days 00:01:27.625000,HARD
2025-12-07,Abu Dhabi Grand Prix,6,STR,Lance Stroll,0 days 00:01:27.626000,MEDIUM
2025-12-07,Abu Dhabi Grand Prix,7,COL,Franco Colapinto,0 days 00:01:27.710000,MEDIUM
2025-12-07,Abu Dhabi Grand Prix,8,GAS,Pierre Gasly,0 days 00:01:27.767000,MEDIUM
2025-12-07,Abu Dhabi Grand Prix,9,ANT,Kimi Antonelli,0 days 00:01:28.029000,MEDIUM
2025-12-07,Abu Dhabi Grand Prix,10,HAM,Lewis Hamilton,0 days 00:01:28.094000,MEDIUM
2025-12-07,Abu Dhabi Grand Prix,11,ALO,Fernando Alonso,0 days 00:01:28.279000,HARD
2025-12-07,Abu Dhabi Grand Prix,12,ALB,Alexander Albon,0 days 00:01:28.367000,MEDIUM
2025-12-07,Abu Dhabi Grand Prix,13,TSU,Yuki Tsunoda,0 days 00:01:28.557000,MEDIUM
2025-12-07,Abu Dhabi Grand Prix,14,RUS,George Russell,0 days 00:01:28.599000,HARD
2025-12-07,Abu Dhabi Grand Prix,15,OCO,Esteban Ocon,0 days 00:01:28.655000,HARD
2025-12-07,Abu Dhabi Grand Prix,16,LAW,Liam Lawson,0 days 00:01:28.886000,HARD
2025-12-07,Abu Dhabi Grand Prix,17,BEA,Oliver Bearman,0 days 00:01:28.976000,HARD
2025-12-07,Abu Dhabi Grand Prix,18,SAI,Carlos Sainz,0 days 00:01:29.052000,HARD
2025-12-07,Abu Dhabi Grand Prix,19,BOR,Gabriel Bortoleto,0 days 00:01:29.114000,HARD
2025-12-07,Abu Dhabi Grand Prix,20,HAD,Isack Hadjar,0 days 00:01:29.375000,HARD
